state,counts_all,updated_date,scrape_date
ALABAMA,102042,2024-08-17,2024-08-18
ALASKA,23959,2024-08-17,2024-08-18
AMERICAN SAMOA,310,2024-08-17,2024-08-18
ARIZONA,123166,2024-08-17,2024-08-18
ARKANSAS,61827,2024-08-17,2024-08-18
CALIFORNIA,635985,2024-08-17,2024-08-18
COLORADO,100102,2024-08-17,2024-08-18
CONNECTICUT,94724,2024-08-17,2024-08-18
DELAWARE,24071,2024-08-17,2024-08-18
DISTRICT OF COLUMBIA,50754,2024-08-17,2024-08-18
FLORIDA,444674,2024-08-17,2024-08-18
GEORGIA,173988,2024-08-17,2024-08-18
GUAM,1338,2024-08-17,2024-08-18
HAWAII,38262,2024-08-17,2024-08-18
IDAHO,32500,2024-08-17,2024-08-18
ILLINOIS,274511,2024-08-17,2024-08-18
INDIANA,152679,2024-08-17,2024-08-18
IOWA,67316,2024-08-17,2024-08-18
KANSAS,62870,2024-08-17,2024-08-18
KENTUCKY,90939,2024-08-17,2024-08-18
LOUISIANA,88596,2024-08-17,2024-08-18
MAINE,30673,2024-08-17,2024-08-18
MARYLAND,101122,2024-08-17,2024-08-18
MASSACHUSETTS,184180,2024-08-17,2024-08-18
MICHIGAN,197970,2024-08-17,2024-08-18
MINNESOTA,153114,2024-08-17,2024-08-18
MISSISSIPPI,68152,2024-08-17,2024-08-18
MISSOURI,145473,2024-08-17,2024-08-18
MONTANA,26465,2024-08-17,2024-08-18
NEBRASKA,39566,2024-08-17,2024-08-18
NEVADA,65055,2024-08-17,2024-08-18
NEW HAMPSHIRE,30394,2024-08-17,2024-08-18
NEW JERSEY,169607,2024-08-17,2024-08-18
NEW MEXICO,36329,2024-08-17,2024-08-18
NEW YORK,547862,2024-08-17,2024-08-18
NORTH CAROLINA,184989,2024-08-17,2024-08-18
NORTH DAKOTA,20621,2024-08-17,2024-08-18
NORTHERN MARIANA ISLANDS,4786,2024-08-17,2024-08-18
OHIO,286956,2024-08-17,2024-08-18
OKLAHOMA,70465,2024-08-17,2024-08-18
OREGON,92584,2024-08-17,2024-08-18
PENNSYLVANIA,291392,2024-08-17,2024-08-18
RHODE ISLAND,27822,2024-08-17,2024-08-18
SOUTH CAROLINA,94154,2024-08-17,2024-08-18
SOUTH DAKOTA,22672,2024-08-17,2024-08-18
TENNESSEE,146074,2024-08-17,2024-08-18
TEXAS,515304,2024-08-17,2024-08-18
UTAH,49281,2024-08-17,2024-08-18
VERMONT,14325,2024-08-17,2024-08-18
VIRGIN ISLANDS,1320,2024-08-17,2024-08-18
VIRGINIA,146886,2024-08-17,2024-08-18
WASHINGTON,120246,2024-08-17,2024-08-18
WEST VIRGINIA,45399,2024-08-17,2024-08-18
WISCONSIN,124071,2024-08-17,2024-08-18
WYOMING,10395,2024-08-17,2024-08-18
