state,counts_lpn,updated_date,scrape_date
ALABAMA,17225,2022-07-15,2022-07-16
ALASKA,809,2022-07-15,2022-07-16
AMERICAN SAMOA,132,2022-07-15,2022-07-16
ARIZONA,11285,2022-07-15,2022-07-16
ARKANSAS,14182,2022-07-15,2022-07-16
CALIFORNIA-RN (Non-Participating),NA,2022-07-15,2022-07-16
CALIFORNIA-VN,106849,2022-07-15,2022-07-16
COLORADO,8300,2022-07-15,2022-07-16
CONNECTICUT,14193,2022-07-15,2022-07-16
DELAWARE,2794,2022-07-15,2022-07-16
DISTRICT OF COLUMBIA,2222,2022-07-15,2022-07-16
FLORIDA,64130,2022-07-15,2022-07-16
GEORGIA,30308,2022-07-15,2022-07-16
GUAM,218,2022-07-15,2022-07-16
HAWAII,1861,2022-07-15,2022-07-16
IDAHO,3606,2022-07-15,2022-07-16
ILLINOIS,26329,2022-07-15,2022-07-16
INDIANA,23445,2022-07-15,2022-07-16
IOWA,10108,2022-07-15,2022-07-16
KANSAS,9629,2022-07-15,2022-07-16
KENTUCKY,13272,2022-07-15,2022-07-16
LOUISIANA-PN,21460,2022-07-15,2022-07-16
LOUISIANA-RN (Non-Participating),NA,2022-07-15,2022-07-16
MAINE,1884,2022-07-15,2022-07-16
MARYLAND,11374,2022-07-15,2022-07-16
MASSACHUSETTS,20436,2022-07-15,2022-07-16
MICHIGAN (Non-Participating),NA,2022-07-15,2022-07-16
MINNESOTA,19180,2022-07-15,2022-07-16
MISSISSIPPI,13088,2022-07-15,2022-07-16
MISSOURI,22097,2022-07-15,2022-07-16
MONTANA,2360,2022-07-15,2022-07-16
NEBRASKA,5463,2022-07-15,2022-07-16
NEVADA,4585,2022-07-15,2022-07-16
NEW HAMPSHIRE,3103,2022-07-15,2022-07-16
NEW JERSEY,22957,2022-07-15,2022-07-16
NEW MEXICO,2431,2022-07-15,2022-07-16
NEW YORK,69284,2022-07-15,2022-07-16
NORTH CAROLINA,22662,2022-07-15,2022-07-16
NORTH DAKOTA,3189,2022-07-15,2022-07-16
NORTHERN MARIANA ISLANDS,54,2022-07-15,2022-07-16
OHIO,55479,2022-07-15,2022-07-16
OKLAHOMA,16136,2022-07-15,2022-07-16
OREGON,6089,2022-07-15,2022-07-16
PENNSYLVANIA,46384,2022-07-15,2022-07-16
RHODE ISLAND,2579,2022-07-15,2022-07-16
SOUTH CAROLINA,11815,2022-07-15,2022-07-16
SOUTH DAKOTA,2685,2022-07-15,2022-07-16
TENNESSEE,29883,2022-07-15,2022-07-16
TEXAS,104312,2022-07-15,2022-07-16
UTAH,2558,2022-07-15,2022-07-16
VERMONT,1721,2022-07-15,2022-07-16
VIRGIN ISLANDS,108,2022-07-15,2022-07-16
VIRGINIA,26772,2022-07-15,2022-07-16
WASHINGTON,11041,2022-07-15,2022-07-16
WEST VIRGINIA-PN,7451,2022-07-15,2022-07-16
WEST VIRGINIA-RN (Non-Participating),NA,2022-07-15,2022-07-16
WISCONSIN,15686,2022-07-15,2022-07-16
WYOMING,980,2022-07-15,2022-07-16
TOTALS,948183,2022-07-15,2022-07-16
