state,counts_rn,updated_date,scrape_date
ALABAMA,88414,2025-05-15,2025-05-15
ALASKA,20020,2025-05-15,2025-05-15
AMERICAN SAMOA,109,2025-05-15,2025-05-15
ARIZONA,116787,2025-05-15,2025-05-15
ARKANSAS,48298,2025-05-15,2025-05-15
CALIFORNIA-RN,565114,2025-05-15,2025-05-15
CALIFORNIA-VN (Non-Participating),NA,2025-05-15,2025-05-15
COLORADO,90051,2025-05-15,2025-05-15
CONNECTICUT,81315,2025-05-15,2025-05-15
DELAWARE,22002,2025-05-15,2025-05-15
DISTRICT OF COLUMBIA,44668,2025-05-15,2025-05-15
FLORIDA,386747,2025-05-15,2025-05-15
GEORGIA,144100,2025-05-15,2025-05-15
GUAM,1279,2025-05-15,2025-05-15
HAWAII,40662,2025-05-15,2025-05-15
IDAHO,30717,2025-05-15,2025-05-15
ILLINOIS,240779,2025-05-15,2025-05-15
INDIANA,134410,2025-05-15,2025-05-15
IOWA,58246,2025-05-15,2025-05-15
KANSAS,53093,2025-05-15,2025-05-15
KENTUCKY,77614,2025-05-15,2025-05-15
LOUISIANA-PN (Non-Participating),NA,2025-05-15,2025-05-15
LOUISIANA-RN,66772,2025-05-15,2025-05-15
MAINE,28774,2025-05-15,2025-05-15
MARYLAND,90022,2025-05-15,2025-05-15
MASSACHUSETTS,162021,2025-05-15,2025-05-15
MICHIGAN,177454,2025-05-15,2025-05-15
MINNESOTA,135645,2025-05-15,2025-05-15
MISSISSIPPI,52162,2025-05-15,2025-05-15
MISSOURI,115573,2025-05-15,2025-05-15
MONTANA,25032,2025-05-15,2025-05-15
NEBRASKA,31660,2025-05-15,2025-05-15
NEVADA,61215,2025-05-15,2025-05-15
NEW HAMPSHIRE,27421,2025-05-15,2025-05-15
NEW JERSEY,152056,2025-05-15,2025-05-15
NEW MEXICO,34207,2025-05-15,2025-05-15
NEW YORK,503213,2025-05-15,2025-05-15
NORTH CAROLINA,162386,2025-05-15,2025-05-15
NORTH DAKOTA,17162,2025-05-15,2025-05-15
NORTHERN MARIANA ISLANDS,4372,2025-05-15,2025-05-15
OHIO,237220,2025-05-15,2025-05-15
OKLAHOMA,53910,2025-05-15,2025-05-15
OREGON,89298,2025-05-15,2025-05-15
PENNSYLVANIA,234649,2025-05-15,2025-05-15
RHODE ISLAND,20700,2025-05-15,2025-05-15
SOUTH CAROLINA,86410,2025-05-15,2025-05-15
SOUTH DAKOTA,20055,2025-05-15,2025-05-15
TENNESSEE,116658,2025-05-15,2025-05-15
TEXAS,420682,2025-05-15,2025-05-15
UTAH,44258,2025-05-15,2025-05-15
VERMONT,10891,2025-05-15,2025-05-15
VIRGIN ISLANDS,1270,2025-05-15,2025-05-15
VIRGINIA,121637,2025-05-15,2025-05-15
WASHINGTON,106149,2025-05-15,2025-05-15
WEST VIRGINIA-PN (Non-Participating),NA,2025-05-15,2025-05-15
WEST VIRGINIA-RN,34573,2025-05-15,2025-05-15
WISCONSIN,117278,2025-05-15,2025-05-15
WYOMING,8371,2025-05-15,2025-05-15
TOTALS,5815581,2025-05-15,2025-05-15
