date,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2024-04-13,256,3154,1644,5054,0.0750733137829912,0.6747130985358132,0.0761920213985807,0.6766309336242784
2024-04-12,258,3153,1665,5076,0.07563764291996482,0.6719858156028369,0.07640585051237928,0.6776129449023633
2024-04-11,261,3174,1646,5081,0.07598253275109171,0.6760480220429049,0.07616125887133642,0.6788972012099721
2024-04-10,271,3230,1586,5087,0.07740645529848615,0.6882248869667781,0.07611609419997913,0.6795542949898079
2024-04-09,256,3136,1652,5044,0.07547169811320754,0.6724821570182395,0.07613791021155634,0.6788972727080042
2024-04-08,263,3126,1651,5040,0.07760401298318088,0.672420634920635,0.07622354138004471,0.6791615018491541
2024-04-07,264,3202,1627,5093,0.07616849394114253,0.680541920282741,0.07611342341996674,0.6792666028866192
2024-04-06,267,3220,1629,5116,0.0765701175795813,0.6815871774824082,0.07574426190305979,0.6788519382215964
2024-04-05,258,3232,1635,5125,0.07392550143266476,0.6809756097560976,0.07554650517295379,0.6784954040891982
2024-04-04,264,3225,1637,5126,0.07566638005159071,0.6806476785017558,0.07585528447139299,0.6780955352159078
2024-04-03,272,3235,1623,5130,0.07755916737952666,0.683625730994152,0.07593442768248869,0.6779365000856167
2024-04-02,261,3170,1657,5088,0.07607111629262606,0.6743317610062893,0.07593094537862562,0.677794099363636
2024-04-01,263,3160,1662,5085,0.07683318726263512,0.6731563421828909,0.07603037041412697,0.6779853314476016
2024-03-31,256,3223,1655,5134,0.0735843633227939,0.6776392676275809,0.07602396097201956,0.6778149826119787
2024-03-30,263,3235,1653,5151,0.07518582046883934,0.6790914385556203,0.07624967087825987,0.6779560647385495
2024-03-29,266,3230,1659,5155,0.07608695652173914,0.678176527643065,0.07615405309959747,0.6780218026841351
2024-03-28,267,3236,1652,5155,0.07622038252926064,0.6795344325897187,0.07612976998139785,0.6781146532171618
2024-03-27,273,3248,1637,5158,0.0775347912524851,0.6826289259402869,0.0761301411429093,0.6780233828014127
2024-03-26,265,3187,1657,5109,0.07676709154113558,0.6756703855940497,0.07605519846762303,0.6779878528647014
2024-03-25,263,3162,1672,5097,0.07678832116788321,0.6719639003335295,0.07602014812323721,0.6777811088717157
2024-03-24,263,3236,1657,5156,0.07516433266647614,0.6786268425135764,0.07605857139842723,0.6779094736142971
2024-03-23,262,3254,1658,5174,0.0745164960182025,0.6795516041747197,0.07552489122158369,0.6793665376951878
2024-03-22,267,3250,1664,5181,0.07591697469434176,0.678826481374252,0.0749340253307846,0.6806992469666925
2024-03-21,268,3248,1663,5179,0.07622298065984073,0.6788955396794748,0.07445304054770398,0.6823991074648895
2024-03-20,272,3260,1644,5176,0.07701019252548132,0.6823802163833076,0.07421635195638492,0.6839472532698495
2024-03-19,264,3186,1667,5117,0.07652173913043478,0.6742231776431503,0.07371287703878589,0.6857746731706088
2024-03-18,265,3174,1672,5111,0.07705728409421343,0.6728624535315985,0.07377021100916334,0.6864207010896122
2024-03-17,262,3406,1657,5325,0.07142857142857142,0.6888262910798122,0.07405982594488487,0.6866332733099606
2024-03-16,259,3421,1662,5342,0.07038043478260869,0.6888805690752527,0.07506659771813783,0.6853922657354736
2024-03-15,268,3426,1654,5348,0.07255008121277748,0.6907255048616305,0.07619377816880378,0.6844684975897996
2024-03-14,275,3413,1659,5347,0.07456616052060737,0.6897325603141948,0.07702366149524677,0.6830584485791903
2024-03-13,273,3442,1629,5344,0.07348586810228802,0.6951721556886228,0.07749100025553524,0.6817914206500445
