,date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
12185,2022-02-16,AK,5,15,2
23086,2022-02-16,AL,40,50,24
19480,2022-02-16,AR,20,73,2
57,2022-02-16,AS,1,0,0
14717,2022-02-16,AZ,13,65,21
23566,2022-02-16,CA,135,202,38
20397,2022-02-16,CO,19,55,20
12874,2022-02-16,CT,2,23,8
17400,2022-02-16,DC,0,13,1
21081,2022-02-16,DE,4,6,1
24703,2022-02-16,FL,38,143,61
12031,2022-02-16,GA,46,89,20
16497,2022-02-16,HI,3,17,4
18461,2022-02-16,IA,6,24,92
22139,2022-02-16,ID,6,38,4
24966,2022-02-16,IL,17,139,25
22636,2022-02-16,IN,29,101,3
19416,2022-02-16,KS,37,95,7
16164,2022-02-16,KY,35,67,4
13803,2022-02-16,LA,47,174,6
25241,2022-02-16,MA,24,58,1
20350,2022-02-16,MD,11,25,17
16998,2022-02-16,ME,3,19,13
16349,2022-02-16,MI,40,114,4
20916,2022-02-16,MN,22,78,30
24526,2022-02-16,MO,36,64,25
14351,2022-02-16,MS,17,81,3
15441,2022-02-16,MT,10,50,4
20039,2022-02-16,NC,10,62,47
21969,2022-02-16,ND,14,29,4
58,2022-02-16,NE,26,67,2
21146,2022-02-16,NH,4,7,18
17883,2022-02-16,NJ,11,57,11
16037,2022-02-16,NM,23,28,1
16709,2022-02-16,NV,2,11,36
19972,2022-02-16,NY,11,156,11
23140,2022-02-16,OH,4,71,124
11780,2022-02-16,OK,45,78,8
59,2022-02-16,OR,9,47,7
24181,2022-02-16,PA,48,154,6
20629,2022-02-16,PR,3,30,33
17817,2022-02-16,RI,6,6,2
11563,2022-02-16,SC,21,50,5
25061,2022-02-16,SD,4,50,10
21586,2022-02-16,TN,22,96,3
17047,2022-02-16,TX,12,54,438
14198,2022-02-16,UT,3,40,9
12392,2022-02-16,VA,21,60,20
15447,2022-02-16,VI,1,0,0
19588,2022-02-16,VT,11,5,1
20251,2022-02-16,WA,20,70,3
23510,2022-02-16,WI,44,77,20
12993,2022-02-16,WV,29,30,4
15319,2022-02-16,WY,6,18,5
19446,2022-02-15,AK,5,15,2
21021,2022-02-15,AL,40,50,24
17318,2022-02-15,AR,20,73,2
14432,2022-02-15,AS,1,0,0
22053,2022-02-15,AZ,13,65,21
21438,2022-02-15,CA,135,202,38
17789,2022-02-15,CO,19,55,20
13220,2022-02-15,CT,2,23,8
24164,2022-02-15,DC,0,13,1
15329,2022-02-15,DE,4,6,1
18994,2022-02-15,FL,38,144,61
13581,2022-02-15,GA,46,89,20
17316,2022-02-15,HI,3,17,4
20106,2022-02-15,IA,6,23,93
22879,2022-02-15,ID,6,38,4
12749,2022-02-15,IL,18,140,25
16423,2022-02-15,IN,29,102,3
24264,2022-02-15,KS,37,95,7
20261,2022-02-15,KY,35,67,4
15259,2022-02-15,LA,48,173,6
12100,2022-02-15,MA,24,58,1
25195,2022-02-15,MD,11,25,17
21167,2022-02-15,ME,3,19,13
17829,2022-02-15,MI,40,114,4
14635,2022-02-15,MN,22,78,30
12245,2022-02-15,MO,36,64,25
14928,2022-02-15,MS,17,82,3
16875,2022-02-15,MT,10,50,4
20592,2022-02-15,NC,10,62,47
60,2022-02-15,ND,14,29,4
12425,2022-02-15,NE,26,67,2
16035,2022-02-15,NH,4,7,18
19762,2022-02-15,NJ,11,57,11
20854,2022-02-15,NM,23,29,1
16712,2022-02-15,NV,2,11,36
11835,2022-02-15,NY,11,156,11
22395,2022-02-15,OH,4,71,124
21719,2022-02-15,OK,45,81,8
17656,2022-02-15,OR,9,47,7
13701,2022-02-15,PA,48,154,6
25142,2022-02-15,PR,3,30,33
16247,2022-02-15,RI,6,6,2
19072,2022-02-15,SC,21,50,5
61,2022-02-15,SD,4,50,10
19054,2022-02-15,TN,22,96,3
24359,2022-02-15,TX,12,54,438
22103,2022-02-15,UT,3,40,9
12832,2022-02-15,VA,21,60,20
16478,2022-02-15,VI,2,0,0
23700,2022-02-15,VT,11,5,1
21404,2022-02-15,WA,20,71,3
17159,2022-02-15,WI,44,77,20
13973,2022-02-15,WV,29,30,4
22902,2022-02-15,WY,6,18,5
20477,2022-02-14,AK,5,15,2
18128,2022-02-14,AL,40,51,23
14800,2022-02-14,AR,20,73,2
11728,2022-02-14,AS,1,0,0
16181,2022-02-14,AZ,13,68,21
18995,2022-02-14,CA,136,203,38
22698,2022-02-14,CO,19,55,20
14202,2022-02-14,CT,2,23,8
62,2022-02-14,DC,0,13,1
16429,2022-02-14,DE,4,6,1
20131,2022-02-14,FL,39,142,61
20380,2022-02-14,GA,41,89,27
17122,2022-02-14,HI,3,17,4
13828,2022-02-14,IA,7,21,94
23528,2022-02-14,ID,6,38,4
19406,2022-02-14,IL,18,142,25
16615,2022-02-14,IN,30,101,3
14640,2022-02-14,KS,38,96,7
24783,2022-02-14,KY,35,68,3
16407,2022-02-14,LA,48,173,6
19619,2022-02-14,MA,24,58,1
15488,2022-02-14,MD,10,26,17
18754,2022-02-14,ME,3,20,12
18535,2022-02-14,MI,29,125,4
22601,2022-02-14,MN,22,79,30
12909,2022-02-14,MO,37,63,25
16078,2022-02-14,MS,17,83,3
24428,2022-02-14,MT,11,50,4
21786,2022-02-14,NC,10,62,47
17261,2022-02-14,ND,14,29,4
13582,2022-02-14,NE,26,67,2
63,2022-02-14,NH,4,7,18
20833,2022-02-14,NJ,11,57,11
18019,2022-02-14,NM,24,28,1
14270,2022-02-14,NV,0,5,45
12494,2022-02-14,NY,8,161,11
16514,2022-02-14,OH,4,72,124
18809,2022-02-14,OK,45,82,8
22105,2022-02-14,OR,9,47,7
21948,2022-02-14,PA,51,152,6
12308,2022-02-14,PR,2,9,55
16289,2022-02-14,RI,6,6,2
19540,2022-02-14,SC,21,50,5
20913,2022-02-14,SD,4,50,10
18093,2022-02-14,TN,22,97,3
13720,2022-02-14,TX,15,70,419
23844,2022-02-14,UT,2,41,9
19980,2022-02-14,VA,20,62,20
17177,2022-02-14,VI,2,0,0
14336,2022-02-14,VT,11,5,1
24465,2022-02-14,WA,20,71,3
15130,2022-02-14,WI,45,76,20
18393,2022-02-14,WV,28,31,4
17059,2022-02-14,WY,6,18,5
21203,2022-02-13,AK,5,17,2
22508,2022-02-13,AL,42,52,23
12013,2022-02-13,AR,18,90,2
16002,2022-02-13,AS,1,0,0
16695,2022-02-13,AZ,14,83,21
23519,2022-02-13,CA,132,245,35
19901,2022-02-13,CO,20,67,20
15335,2022-02-13,CT,2,30,8
12594,2022-02-13,DC,0,13,1
24282,2022-02-13,DE,3,12,1
20695,2022-02-13,FL,40,170,61
17895,2022-02-13,GA,43,102,27
11640,2022-02-13,HI,3,18,4
14491,2022-02-13,IA,6,19,101
17794,2022-02-13,ID,6,43,4
20148,2022-02-13,IL,18,160,26
24142,2022-02-13,IN,32,133,3
12399,2022-02-13,KS,33,107,7
15515,2022-02-13,KY,37,76,3
19693,2022-02-13,LA,48,173,6
20356,2022-02-13,MA,25,76,1
20075,2022-02-13,MD,11,32,17
15920,2022-02-13,ME,2,24,13
11874,2022-02-13,MI,36,123,4
22439,2022-02-13,MN,23,87,30
20981,2022-02-13,MO,36,80,25
