date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
2022-05-21,AK,3.0,19.0,2.0
2022-05-16,AK,3.0,17.0,2.0
2022-05-06,AK,3.0,19.0,2.0
2022-04-30,AK,2.0,20.0,2.0
2022-04-17,AK,3.0,19.0,2.0
2022-04-13,AK,4.0,18.0,2.0
2022-03-19,AK,5.0,17.0,2.0
2022-03-06,AK,3.0,19.0,2.0
2022-02-26,AK,3.0,19.0,2.0
2022-01-06,AK,1.0,22.0,1.0
2021-08-19,AK,2.0,21.0,1.0
2021-06-09,AK,2.0,22.0,0.0
2021-05-19,AK,2.0,22.0,0.0
2021-05-12,AK,2.0,22.0,0.0
2021-05-04,AK,1.0,21.0,0.0
2021-04-21,AK,1.0,23.0,0.0
2021-04-13,AK,1.0,21.0,0.0
2021-04-10,AK,1.0,23.0,0.0
2021-04-05,AK,1.0,21.0,0.0
2021-04-04,AK,1.0,23.0,0.0
2021-04-03,AK,1.0,23.0,0.0
2021-03-31,AK,2.0,22.0,0.0
2021-03-27,AK,1.0,23.0,0.0
2020-11-23,AK,6.0,16.0,0.0
2020-11-21,AK,5.0,18.0,0.0
2020-11-15,AK,5.0,19.0,0.0
2020-11-12,AK,5.0,19.0,0.0
2020-11-08,AK,4.0,20.0,0.0
2020-11-06,AK,4.0,20.0,0.0
2020-11-05,AK,4.0,20.0,0.0
2020-11-04,AK,4.0,20.0,0.0
2020-11-03,AK,4.0,18.0,0.0
2020-11-02,AK,4.0,19.0,0.0
2020-10-27,AK,4.0,19.0,0.0
2020-10-24,AK,4.0,19.0,0.0
2020-10-18,AK,3.0,20.0,0.0
2020-10-10,AK,4.0,19.0,0.0
2020-10-06,AK,4.0,18.0,1.0
2020-09-26,AK,3.0,18.0,4.0
2020-09-18,AK,4.0,14.0,6.0
2020-09-17,AK,4.0,14.0,6.0
2020-09-16,AK,4.0,14.0,6.0
2020-09-10,AK,3.0,15.0,6.0
