yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
5,15,2,22,0.25,0.9090909090909091,0.46606314387791414,0.9200860939764864
40,50,24,114,0.4444444444444444,0.7894736842105263,0.3866980645128347,0.8900109060065616
20,73,2,95,0.21505376344086022,0.9789473684210527,0.3192057450043862,0.895406748554107
1,0,0,1,1.0,1.0,0.43066571360721195,0.8999660190708243
13,65,21,99,0.16666666666666666,0.7878787878787878,0.4025271854686839,0.8899264132865377
135,202,38,375,0.40059347181008903,0.8986666666666666,0.38953690662315177,0.8845205175949277
19,55,20,94,0.25675675675675674,0.7872340425531915,0.3905021575884026,0.8787559226887334
2,23,8,33,0.08,0.7575757575757576,0.36621644330268843,0.8571109010437116
0,13,1,14,0.0,0.9285714285714286,0.3027243798106249,0.8769820073809834
4,6,1,11,0.4,0.9090909090909091,0.3291452707476449,0.8670025131909629
38,143,61,242,0.20994475138121546,0.7479338842975206,0.21628023523067566,0.8309930680906087
46,89,20,155,0.34074074074074073,0.8709677419354839,0.24114796009840053,0.8428629186701366
3,17,4,24,0.15,0.8333333333333334,0.20534889269695925,0.8335295853368034
6,24,92,122,0.2,0.2459016393442623,0.19724078458885114,0.7561963848783849
6,38,4,48,0.13636363636363635,0.9166666666666666,0.2052927326407992,0.7789236576056577
17,139,25,181,0.10897435897435898,0.861878453038674,0.22086049820856476,0.769396089672407
29,101,3,133,0.2230769230769231,0.9774436090225563,0.1955857729338395,0.7791607610912138
37,95,7,139,0.2803030303030303,0.9496402877697842,0.2056369556369559,0.8079759615872515
35,67,4,106,0.3431372549019608,0.9622641509433962,0.20597931480284445,0.8210183057312389
47,174,6,227,0.21266968325791855,0.973568281938326,0.21493212669683284,0.8410518698176663
24,58,1,83,0.2926829268292683,0.9879518072289156,0.22817254481529972,0.9470590366583311
11,25,17,53,0.3055555555555556,0.6792452830188679,0.2523428189855739,0.913141696137217
3,19,13,35,0.13636363636363635,0.6285714285714286,0.2562555728983278,0.8798121212133249
40,114,4,158,0.2597402597402597,0.9746835443037974,0.2614931924216616,0.8794178262535022
22,78,30,130,0.22,0.7692307692307693,0.252878473806943,0.8536450378907857
36,64,25,125,0.36,0.8,0.25528743739237714,0.830464444898872
17,81,3,101,0.17346938775510204,0.9702970297029703,0.2496873951776891,0.829997123150964
10,50,4,64,0.16666666666666666,0.9375,0.23168507229731744,0.8227897221182617
10,62,47,119,0.1388888888888889,0.6050420168067226,0.20787554848779363,0.8121892555165269
14,29,4,47,0.32558139534883723,0.9148936170212766,0.23490665691425092,0.8530924252950765
26,67,2,95,0.27956989247311825,0.9789473684210527,0.23773946159037354,0.8537015430261129
4,7,18,29,0.36363636363636365,0.3793103448275862,0.25825894210985406,0.7979986252542296
11,57,11,79,0.16176470588235295,0.8607594936708861,0.22993961437876162,0.8066785529214991
23,28,1,52,0.45098039215686275,0.9807692307692307,0.26958404357901317,0.8081745816452506
2,11,36,49,0.15384615384615385,0.2653061224489796,0.26775254174751134,0.7121468848522478
11,156,11,178,0.0658682634730539,0.9382022471910112,0.2573210238309635,0.7597412034785745
4,71,124,199,0.05333333333333334,0.3768844221105528,0.21842844354303434,0.682882747062757
45,78,8,131,0.36585365853658536,0.9389312977099237,0.2307546958378154,0.6771661655325956
9,47,7,63,0.16071428571428573,0.8888888888888888,0.2017658275632328,0.749963100398496
48,154,6,208,0.2376237623762376,0.9711538461538461,0.21260283563378773,0.7657337221817759
3,30,33,66,0.09090909090909091,0.5,0.1611640783126775,0.6970524035004573
6,6,2,14,0.5,0.8571428571428571,0.21061462776322695,0.7816005084567256
21,50,5,76,0.29577464788732394,0.9342105263157895,0.24345839696526553,0.7810302626174083
4,50,10,64,0.07407407407407407,0.84375,0.24642135992822847,0.8477253451730435
22,96,3,121,0.1864406779661017,0.9752066115702479,0.22079093413244513,0.8529075328673755
12,54,438,504,0.18181818181818182,0.13095238095238096,0.22380577643300167,0.7446308888764458
3,40,9,52,0.06976744186046512,0.8269230769230769,0.1998263020736056,0.7240264932720503
21,60,20,101,0.25925925925925924,0.801980198019802,0.22387632612362968,0.7671665215605934
1,0,0,1,1.0,1.0,0.29530489755220113,0.7875746848258994
11,5,1,17,0.6875,0.9411764705882353,0.35126566213972626,0.7885698197219632
20,70,3,93,0.2222222222222222,0.967741935483871,0.3724296833037474,0.8062829533625161
44,77,20,141,0.36363636363636365,0.8581560283687943,0.3977433526852134,0.7895614414765941
29,30,4,63,0.4915254237288136,0.9365079365079365,0.4419872443867322,0.9046408065559594
6,18,5,29,0.25,0.8275862068965517,0.46773475269238013,0.904735539409313
5,15,2,22,0.25,0.9090909090909091,0.46482247391613474,0.9200860939764864
40,50,24,114,0.4444444444444444,0.7894736842105263,0.38545739455105543,0.8900109060065615
20,73,2,95,0.21505376344086022,0.9789473684210527,0.31796507504260685,0.895406748554107
1,0,0,1,1.0,1.0,0.4294250436454326,0.8999660190708242
13,65,21,99,0.16666666666666666,0.7878787878787878,0.40010587796263053,0.8899264132865377
135,202,38,375,0.40059347181008903,0.8986666666666666,0.38953690662315177,0.8845205175949277
19,55,20,94,0.25675675675675674,0.7872340425531915,0.39050215758840273,0.8787559226887334
2,23,8,33,0.08,0.7575757575757576,0.36621644330268843,0.8571109010437118
0,13,1,14,0.0,0.9285714285714286,0.3027243798106249,0.8769820073809834
4,6,1,11,0.4,0.9090909090909091,0.3291452707476449,0.8670025131909629
38,144,61,243,0.2087912087912088,0.7489711934156379,0.2161154434321033,0.8311412551074826
46,89,20,155,0.34074074074074073,0.8709677419354839,0.2409831682998282,0.8430111056870107
3,17,4,24,0.15,0.8333333333333334,0.20518410089838687,0.8336777723536773
6,23,93,122,0.20689655172413793,0.23770491803278687,0.19806121446515565,0.7551736117079051
6,38,4,48,0.13636363636363635,0.9166666666666666,0.20611316251710368,0.7779008844351779
18,140,25,183,0.11392405063291139,0.8633879781420765,0.22238802689323386,0.7685889629452705
29,102,3,134,0.22137404580152673,0.9776119402985075,0.1968700334363091,0.7783776816892132
37,95,7,139,0.2803030303030303,0.9496402877697842,0.2070860079379979,0.8070446951683768
35,67,4,106,0.3431372549019608,0.9622641509433962,0.2074283671038865,0.8200870393123643
48,173,6,227,0.2171945701357466,0.973568281938326,0.21702759140899314,0.8401206033987919
24,58,1,83,0.2926829268292683,0.9879518072289156,0.2292827878525832,0.9472987304268103
11,25,17,53,0.3055555555555556,0.6792452830188679,0.25345306202285733,0.9133813899056962
3,19,13,35,0.13636363636363635,0.6285714285714286,0.25665871712724664,0.8798361685384608
40,114,4,158,0.2597402597402597,0.9746835443037974,0.2621396048327799,0.8794178262535022
22,78,30,130,0.22,0.7692307692307693,0.25352488621806135,0.8536450378907857
36,64,25,125,0.36,0.8,0.2559338498034955,0.830464444898872
17,82,3,102,0.1717171717171717,0.9705882352941176,0.24943707860084194,0.8300387239496994
10,50,4,64,0.16666666666666666,0.9375,0.2314347557204703,0.8228313229169971
10,62,47,119,0.1388888888888889,0.6050420168067226,0.20762523191094645,0.812230856315262
14,29,4,47,0.32558139534883723,0.9148936170212766,0.23465634033740373,0.853134026093812
26,67,2,95,0.27956989247311825,0.9789473684210527,0.2374891450135264,0.8537431438248483
4,7,18,29,0.36363636363636365,0.3793103448275862,0.2580086255330069,0.798040226052965
11,57,11,79,0.16176470588235295,0.8607594936708861,0.22968929780191447,0.8067201537202344
23,29,1,53,0.4423076923076923,0.9811320754716981,0.2683450864577031,0.8082264166027459
2,11,36,49,0.15384615384615385,0.2653061224489796,0.2665135846262013,0.712198719809743
11,156,11,178,0.0658682634730539,0.9382022471910112,0.25608206670965344,0.7597930384360699
4,71,124,199,0.05333333333333334,0.3768844221105528,0.21718948642172428,0.6829345820202523
45,81,8,134,0.35714285714285715,0.9402985074626866,0.2282713385174013,0.6774133161690571
9,47,7,63,0.16071428571428573,0.8888888888888888,0.19928247024281873,0.7502102510349574
48,154,6,208,0.2376237623762376,0.9711538461538461,0.2101194783133737,0.7659808728182375
3,30,33,66,0.09090909090909091,0.5,0.15991967811357347,0.6972477191794235
6,6,2,14,0.5,0.8571428571428571,0.20937022756412293,0.7817958241356917
21,50,5,76,0.29577464788732394,0.9342105263157895,0.24221399676616154,0.7812255782963743
4,50,10,64,0.07407407407407407,0.84375,0.24517695972912446,0.8479206608520096
22,96,3,121,0.1864406779661017,0.9752066115702479,0.22079093413244508,0.8529075328673754
12,54,438,504,0.18181818181818182,0.13095238095238096,0.2238057764330017,0.7446308888764459
3,40,9,52,0.06976744186046512,0.8269230769230769,0.19982630207360566,0.7240264932720502
21,60,20,101,0.25925925925925924,0.801980198019802,0.22387632612362968,0.7671665215605933
2,0,0,2,1.0,1.0,0.29530489755220113,0.7875746848258994
11,5,1,17,0.6875,0.9411764705882353,0.35126566213972626,0.7885698197219632
20,71,3,94,0.21978021978021978,0.9680851063829787,0.37208082581203283,0.8063319777766745
44,77,20,141,0.36363636363636365,0.8581560283687943,0.3973944951934988,0.7896104658907525
29,30,4,63,0.4915254237288136,0.9365079365079365,0.44163838689501755,0.9046898309701176
6,18,5,29,0.25,0.8275862068965517,0.46738589520066537,0.904784563823471
5,15,2,22,0.25,0.9090909090909091,0.46311535089464057,0.9224884098899473
40,51,23,114,0.43956043956043955,0.7982456140350878,0.38305255654613196,0.8936663547521027
20,73,2,95,0.21505376344086022,0.9789473684210527,0.3155602370376834,0.8990621972996479
1,0,0,1,1.0,1.0,0.4287144095977965,0.9018361224036701
13,68,21,102,0.16049382716049382,0.7941176470588235,0.40062169102888745,0.893659878933309
136,203,38,377,0.40117994100294985,0.8992042440318302,0.385293885990568,0.888330780008151
19,55,20,94,0.25675675675675674,0.7872340425531915,0.3890063897030717,0.8809771178844132
2,23,8,33,0.08,0.7575757575757576,0.3647206754173574,0.8593320962393918
0,13,1,14,0.0,0.9285714285714286,0.3019263269087232,0.8779500697445833
4,6,1,11,0.4,0.9090909090909091,0.32834721784574317,0.8679705755545628
39,142,61,242,0.2154696132596685,0.7479338842975206,0.21627144831141007,0.8319611304542086
41,89,27,157,0.3153846153846154,0.8280254777070064,0.23839870377199887,0.8368051062610918
3,17,4,24,0.15,0.8333333333333334,0.20251585505729178,0.8273949761613065
7,21,94,122,0.25,0.22950819672131148,0.2015506040920408,0.7477198553281809
