lic_type,year,mean,median,count,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
LPN,2020,84,63,36347,29839,0.8209480837483148,19067,0.5245824964921452,10898,0.2998321732192478,6622,0.18218835117066057,3104,0.08539907007455912,524,0.014416595592483561
LPN,2021,93,68,32622,26790,0.8212249402243884,18299,0.5609404696217277,11207,0.3435411685365704,7115,0.21810434675985532,3614,0.11078413340690332,786,0.024094169578811844
LPN,Pending,156,145,12088,11054,0.9144606221045665,9729,0.8048477829252151,8512,0.7041694242223693,7103,0.5876075446724024,4590,0.3797154202514891,27,0.002233620119126406
LPN-Provisional,2020,37,28,2306,1069,0.4635732870771899,388,0.16825672159583693,171,0.07415437987857762,80,0.03469210754553339,33,0.014310494362532523,2,8.673026886383347e-4
LPN-Provisional,2021,34,21,1617,636,0.39332096474953615,259,0.16017316017316016,110,0.06802721088435375,55,0.034013605442176874,26,0.016079158936301793,5,0.0030921459492888066
LPN-Provisional,Pending,105,77,52,34,0.6538461538461539,29,0.5576923076923077,25,0.4807692307692308,23,0.4423076923076923,13,0.25,0,0
LPN-Refresher Temporary,2020,24,25,5,1,0.2,0,0,0,0,0,0,0,0,0,0
LPN-Refresher Temporary,2021,6,5.5,2,0,0,0,0,0,0,0,0,0,0,0,0
LPN-Temp,2020,17,3,3561,727,0.20415613591687728,238,0.06683515866329683,95,0.02667789946644201,51,0.014321819713563605,29,0.008143779837124403,1,2.808199943836001e-4
LPN-Temp,2021,20,4,2137,494,0.23116518483855872,206,0.09639681796911559,88,0.04117922321010763,40,0.018717828731867104,14,0.006551240056153486,4,0.0018717828731867104
LPN-Temp,Pending,142,141,58,53,0.9137931034482759,43,0.7413793103448276,38,0.6551724137931034,32,0.5517241379310345,24,0.41379310344827586,0,0
RN,2020,78,62,219453,166363,0.7580803178812775,112926,0.5145794315867179,64761,0.2951019124823994,36532,0.16646844654664097,15309,0.06975981189594127,2317,0.010558069381598794
RN,2021,84,66,220993,168722,0.7634721461765758,119992,0.5429674243075573,73484,0.33251731955310804,42020,0.19014176919630937,17672,0.07996633377527795,3506,0.015864755897245616
RN,Pending,148,139,60392,53990,0.8939925817989137,46968,0.7777189031659822,41156,0.6814809908597165,34156,0.5655715988872698,21653,0.35854086633991256,47,7.78248774672142e-4
RN-Provisional,2020,39,32,10444,5355,0.5127345844504021,2374,0.22730754500191497,729,0.06980084258904634,197,0.018862504787437763,54,0.005170432784373803,1,9.574875526618154e-5
RN-Provisional,2021,41,35,8205,4481,0.5461304082876295,2036,0.24814137720901888,623,0.07592931139549056,177,0.02157221206581353,59,0.007190737355271176,3,3.6563071297989033e-4
RN-Provisional,Pending,100,86.5,62,42,0.6774193548387096,39,0.6290322580645161,29,0.46774193548387094,22,0.3548387096774194,10,0.16129032258064516,0,0
RN-Refresher Temporary,2020,34,16,22,8,0.36363636363636365,2,0.09090909090909091,2,0.09090909090909091,1,0.045454545454545456,1,0.045454545454545456,0,0
RN-Refresher Temporary,2021,20,15,11,3,0.2727272727272727,1,0.09090909090909091,0,0,0,0,0,0,0,0
RN-Temp,2020,18,4,25073,4942,0.19710445499142504,1690,0.06740318270649703,751,0.029952538587325012,444,0.0177082917879791,171,0.006820085350775735,19,7.577872611973039e-4
RN-Temp,2021,17,4,20348,3519,0.17294082956555926,1402,0.06890112050324357,633,0.031108708472577157,355,0.01744643208177708,109,0.005356791822292117,16,7.863180656575585e-4
RN-Temp,Pending,206,199,3635,3564,0.9804676753782668,3487,0.9592847317744154,3464,0.9529573590096286,3040,0.8363136176066025,2037,0.560385144429161,5,0.001375515818431912
Unknown,2021,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Unknown-Temp,2020,10,2,2522,92,0.03647898493259318,58,0.022997620935765267,40,0.01586042823156225,34,0.013481363996827915,30,0.011895321173671689,24,0.00951625693893735
Unknown-Temp,2021,12,2,2214,82,0.037037037037037035,58,0.026196928635953028,34,0.015356820234869015,24,0.01084010840108401,20,0.009033423667570008,20,0.009033423667570008
Volunteer RN,2021,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0
Volunteer RN,Pending,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0
