data_state,lic_type,standard_app_type,year,mean,median,count,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
AR,LPN,Endorsement,2020,71,42.5,32,22,0.6875,10,0.3125,6,0.1875,6,0.1875,3,0.09375,0,0
AR,LPN,Endorsement,2021,65,35.5,92,49,0.532608695652174,29,0.31521739130434784,21,0.22826086956521738,17,0.18478260869565216,10,0.10869565217391304,0,0
AR,LPN,Exam,2020,85,75,597,578,0.9681742043551089,422,0.7068676716917923,197,0.32998324958123953,68,0.11390284757118928,21,0.035175879396984924,3,0.005025125628140704
AR,LPN,Exam,2021,86,76,662,652,0.9848942598187311,526,0.7945619335347432,230,0.3474320241691843,85,0.1283987915407855,14,0.021148036253776436,1,0.0015105740181268882
AR,LPN,Exam-retest,2020,65,51,69,58,0.8405797101449275,27,0.391304347826087,15,0.21739130434782608,6,0.08695652173913043,3,0.043478260869565216,0,0
AR,LPN,Exam-retest,2021,74,55,69,58,0.8405797101449275,30,0.43478260869565216,15,0.21739130434782608,10,0.14492753623188406,3,0.043478260869565216,1,0.014492753623188406
AR,LPN-Temp,Temporary,2020,45,43,610,411,0.6737704918032786,130,0.21311475409836064,31,0.05081967213114754,10,0.01639344262295082,8,0.013114754098360656,0,0
AR,LPN-Temp,Temporary,2021,48,46,402,289,0.7189054726368159,122,0.3034825870646766,43,0.10696517412935323,7,0.017412935323383085,0,0,0,0
AR,RN,Endorsement,2020,75,56,295,219,0.7423728813559322,142,0.48135593220338985,86,0.29152542372881357,52,0.17627118644067796,23,0.07796610169491526,1,0.003389830508474576
AR,RN,Endorsement,2021,67,39,739,427,0.577807848443843,280,0.37889039242219213,187,0.2530446549391069,136,0.18403247631935046,65,0.08795669824086604,0,0
