data_state,lic_type,standard_app_type,year,mean,median,count,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
AR,LPN+RN,Endorsement+Exam+Other+Unknown,2020,83,76,2006,1870,0.9322033898305084,1369,0.6824526420737786,679,0.33848454636091724,239,0.11914257228315055,78,0.038883349950149554,5,0.0024925224327018943
AR,LPN+RN,Endorsement+Exam+Other+Unknown,2021,81,77,2907,2530,0.8703130374957,2027,0.697282421740626,999,0.34365325077399383,359,0.12349501203990368,110,0.03783969728242174,1,3.439972480220158e-4
CA,LPN+RN,Endorsement+Exam+Other+Unknown,2020,101,83,29252,28360,0.969506358539587,22022,0.7528374128264734,12363,0.42263776835771916,6516,0.22275399972651444,2628,0.08984001093942294,440,0.01504170654997949
CA,LPN+RN,Endorsement+Exam+Other+Unknown,2021,121,96,24979,23820,0.9536010248608832,19999,0.8006325313263141,13650,0.5464590255814884,8055,0.3224708755354498,3831,0.15336882981704633,712,0.0285039433123824
CA,LPN+RN,Endorsement+Exam+Other+Unknown,Pending as of 01/04/22,224,221,15208,15208,1,15208,1,15208,1,13738,0.9033403471856918,9613,0.632101525512888,74,0.00486586007364545
CO,LPN+RN,Endorsement+Exam+Other+Unknown,2020,38,21,6625,2544,0.384,1052,0.15879245283018867,641,0.09675471698113207,429,0.06475471698113208,235,0.03547169811320755,32,0.004830188679245283
CO,LPN+RN,Endorsement+Exam+Other+Unknown,2021,53,29,5904,2865,0.48526422764227645,1073,0.18174119241192413,669,0.1133130081300813,495,0.08384146341463415,313,0.05301490514905149,99,0.01676829268292683
CO,LPN+RN,Endorsement+Exam+Other+Unknown,Pending as of 09/27/21,90,80,1295,929,0.7173745173745174,724,0.5590733590733591,588,0.4540540540540541,423,0.32664092664092664,180,0.138996138996139,0,0
CT,LPN+RN,Endorsement+Exam+Other+Unknown,2020,47,22,10419,4655,0.44677992129762933,2815,0.27017947979652557,1637,0.15711680583549284,926,0.08887609175544678,405,0.03887129283040599,86,0.008254151070160283
CT,LPN+RN,Endorsement+Exam+Other+Unknown,2021,53,24,7973,3641,0.45666624858898786,2196,0.27542957481500063,1259,0.15790793929512104,749,0.09394205443371378,388,0.04866424181612944,106,0.013294870186880723
CT,LPN+RN,Endorsement+Exam+Other+Unknown,Pending as of 11/04/21,143,134,1879,1879,1,1652,0.8791910590739755,1266,0.6737626397019691,1031,0.5486961149547632,547,0.2911122937732837,0,0
FL,LPN+RN,Endorsement+Exam+Other+Unknown,2020,63,45,28132,17774,0.6318071946537751,10522,0.37402246551969287,5733,0.20378927911275416,3272,0.1163088298023603,1392,0.04948101805772785,168,0.005971847006967155
FL,LPN+RN,Endorsement+Exam+Other+Unknown,2021,58,38,27390,15465,0.5646221248630887,8839,0.32270901788974077,4635,0.1692223439211391,2654,0.09689667761956919,1362,0.04972617743702081,218,0.007959109163928441
