data_state,lic_type,standard_app_type,year,mean,median,count,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
AR,LPN,Endorsement+Exam+Other+Unknown,2020,84,75,629,600,0.9538950715421304,432,0.6868044515103339,203,0.32273449920508746,74,0.11764705882352941,24,0.03815580286168521,3,0.0047694753577106515
AR,LPN,Endorsement+Exam+Other+Unknown,2021,83,74,754,701,0.9297082228116711,555,0.7360742705570292,251,0.3328912466843501,102,0.13527851458885942,24,0.03183023872679045,1,0.001326259946949602
AR,RN,Endorsement+Exam+Other+Unknown,2020,82,77,1377,1270,0.9222948438634713,937,0.6804647785039942,476,0.345679012345679,165,0.11982570806100218,54,0.0392156862745098,2,0.0014524328249818446
AR,RN,Endorsement+Exam+Other+Unknown,2021,80,77,2153,1829,0.8495123084068741,1472,0.683697166744078,748,0.34742220157919185,257,0.11936832326985601,86,0.03994426381792847,0,0
CA,LPN,Endorsement+Exam+Other+Unknown,2020,103,77,5197,4935,0.9495862997883394,3413,0.6567250336732731,2077,0.3996536463344237,1288,0.24783528959014817,632,0.1216086203578988,122,0.02347508177794882
CA,LPN,Endorsement+Exam+Other+Unknown,2021,116,82,4136,3876,0.937137330754352,2809,0.6791586073500967,1836,0.44390715667311414,1202,0.29061895551257255,616,0.14893617021276595,174,0.04206963249516441
CA,LPN,Endorsement+Exam+Other+Unknown,Pending as of 01/04/22,228,224,2920,2920,1,2920,1,2920,1,2638,0.9034246575342466,1919,0.6571917808219178,27,0.009246575342465754
CA,RN,Endorsement+Exam+Other+Unknown,2020,101,84,24055,23425,0.9738100187071295,18609,0.7736021617127417,10286,0.42760340885470793,5228,0.21733527333194763,1996,0.08297651215963417,318,0.013219704843067968
CA,RN,Endorsement+Exam+Other+Unknown,2021,122,98,20843,19944,0.9568680132418558,17190,0.8247373218826465,11814,0.5668090006237106,6853,0.32879144077148204,3215,0.15424842872906971,538,0.02581202322122535
CA,RN,Endorsement+Exam+Other+Unknown,Pending as of 01/04/22,223,220,12288,12288,1,12288,1,12288,1,11100,0.9033203125,7694,0.6261393229166666,47,0.0038248697916666665
CO,LPN,Endorsement+Exam+Other+Unknown,2020,50,28,589,282,0.47877758913412566,139,0.23599320882852293,82,0.13921901528013583,62,0.10526315789473684,35,0.059422750424448216,4,0.006791171477079796
CO,LPN,Endorsement+Exam+Other+Unknown,2021,56,35,415,233,0.5614457831325301,103,0.24819277108433735,61,0.14698795180722893,44,0.10602409638554217,21,0.05060240963855422,2,0.004819277108433735
CO,LPN,Endorsement+Exam+Other+Unknown,Pending as of 09/27/21,87,67.5,138,98,0.7101449275362319,74,0.5362318840579711,55,0.39855072463768115,36,0.2608695652173913,21,0.15217391304347827,0,0
CO,RN,Endorsement+Exam+Other+Unknown,2020,37,21,6036,2262,0.37475149105367794,913,0.15125911199469846,559,0.09261100066269053,367,0.06080185553346587,200,0.03313452617627568,28,0.004638833664678595
CO,RN,Endorsement+Exam+Other+Unknown,2021,53,29,5489,2632,0.47950446347239933,970,0.17671707050464566,608,0.11076698852249954,451,0.08216432865731463,292,0.0531973036983057,97,0.017671707050464565
CO,RN,Endorsement+Exam+Other+Unknown,Pending as of 09/27/21,90,80,1157,831,0.7182368193604148,650,0.5617977528089888,533,0.4606741573033708,387,0.334485738980121,159,0.13742437337942956,0,0
CT,LPN,Endorsement+Exam+Other+Unknown,2020,95,52,565,411,0.727433628318584,255,0.45132743362831856,170,0.3008849557522124,114,0.20176991150442478,68,0.12035398230088495,17,0.03008849557522124
